msa,lat,lng,area,year,pct_change
"Rochester, MN",43.9499166,-92.33569859999999,6415412346.0,2001-01-01,0.0
"Rochester, MN",43.9499166,-92.33569859999999,6415412346.0,2002-01-01,0.06905974413116378
"Rochester, MN",43.9499166,-92.33569859999999,6415412346.0,2003-01-01,0.14569618680909202
"Rochester, MN",43.9499166,-92.33569859999999,6415412346.0,2004-01-01,0.14755930940255868
"Rochester, MN",43.9499166,-92.33569859999999,6415412346.0,2005-01-01,0.14246677431374974
"Rochester, MN",43.9499166,-92.33569859999999,6415412346.0,2006-01-01,0.16122220842131418
"Rochester, MN",43.9499166,-92.33569859999999,6415412346.0,2007-01-01,0.1361321574959633
"Rochester, MN",43.9499166,-92.33569859999999,6415412346.0,2008-01-01,0.1569991305427898
"Rochester, MN",43.9499166,-92.33569859999999,6415412346.0,2009-01-01,0.14035523537448769
"Rochester, MN",43.9499166,-92.33569859999999,6415412346.0,2010-01-01,0.20879393864116255
"Rochester, MN",43.9499166,-92.33569859999999,6415412346.0,2011-01-01,0.1981120357719537
"Rochester, MN",43.9499166,-92.33569859999999,6415412346.0,2012-01-01,0.2386039001366289
"Rochester, MN",43.9499166,-92.33569859999999,6415412346.0,2013-01-01,0.2420817289777668
"Rochester, MN",43.9499166,-92.33569859999999,6415412346.0,2014-01-01,0.25636566886101103
"Rochester, MN",43.9499166,-92.33569859999999,6415412346.0,2015-01-01,0.2907713327536952
"Rochester, MN",43.9499166,-92.33569859999999,6415412346.0,2016-01-01,0.34331138988945464
"Rochester, MN",43.9499166,-92.33569859999999,6415412346.0,2017-01-01,0.3911315364550987
"Raleigh, NC",35.7567464,-78.4604412,5485063049.0,2001-01-01,0.0
"Raleigh, NC",35.7567464,-78.4604412,5485063049.0,2002-01-01,-0.04017384398164492
"Raleigh, NC",35.7567464,-78.4604412,5485063049.0,2003-01-01,-0.01742852100247083
"Raleigh, NC",35.7567464,-78.4604412,5485063049.0,2004-01-01,0.04319625838333918
"Raleigh, NC",35.7567464,-78.4604412,5485063049.0,2005-01-01,0.0985483586304272
"Raleigh, NC",35.7567464,-78.4604412,5485063049.0,2006-01-01,0.16201906106600772
"Raleigh, NC",35.7567464,-78.4604412,5485063049.0,2007-01-01,0.2450361807271444
"Raleigh, NC",35.7567464,-78.4604412,5485063049.0,2008-01-01,0.24677903282739155
"Raleigh, NC",35.7567464,-78.4604412,5485063049.0,2009-01-01,0.2323508648076245
"Raleigh, NC",35.7567464,-78.4604412,5485063049.0,2010-01-01,0.2614939992940346
"Raleigh, NC",35.7567464,-78.4604412,5485063049.0,2011-01-01,0.2897546770208259
"Raleigh, NC",35.7567464,-78.4604412,5485063049.0,2012-01-01,0.3221849629368161
"Raleigh, NC",35.7567464,-78.4604412,5485063049.0,2013-01-01,0.337120543593364
"Raleigh, NC",35.7567464,-78.4604412,5485063049.0,2014-01-01,0.4023340981291916
"Raleigh, NC",35.7567464,-78.4604412,5485063049.0,2015-01-01,0.5033312742675609
"Raleigh, NC",35.7567464,-78.4604412,5485063049.0,2016-01-01,0.5594775855983056
"Raleigh, NC",35.7567464,-78.4604412,5485063049.0,2017-01-01,0.6022326156018356
"Rapid City, SD",44.19510820000001,-102.916612,20213988388.0,2001-01-01,0.0
"Rapid City, SD",44.19510820000001,-102.916612,20213988388.0,2002-01-01,0.1045377438507209
"Rapid City, SD",44.19510820000001,-102.916612,20213988388.0,2003-01-01,0.12807463952502118
"Rapid City, SD",44.19510820000001,-102.916612,20213988388.0,2004-01-01,0.11980491942324
"Rapid City, SD",44.19510820000001,-102.916612,20213988388.0,2005-01-01,0.12022900763358768
"Rapid City, SD",44.19510820000001,-102.916612,20213988388.0,2006-01-01,0.10284139100933
"Rapid City, SD",44.19510820000001,-102.916612,20213988388.0,2007-01-01,0.09414758269720093
"Rapid City, SD",44.19510820000001,-102.916612,20213988388.0,2008-01-01,0.08948261238337585
"Rapid City, SD",44.19510820000001,-102.916612,20213988388.0,2009-01-01,0.06509754028838
"Rapid City, SD",44.19510820000001,-102.916612,20213988388.0,2010-01-01,0.1034775233248515
"Rapid City, SD",44.19510820000001,-102.916612,20213988388.0,2011-01-01,0.16454622561492793
"Rapid City, SD",44.19510820000001,-102.916612,20213988388.0,2012-01-01,0.17875318066157764
"Rapid City, SD",44.19510820000001,-102.916612,20213988388.0,2013-01-01,0.16603053435114498
"Rapid City, SD",44.19510820000001,-102.916612,20213988388.0,2014-01-01,0.19656488549618326
"Rapid City, SD",44.19510820000001,-102.916612,20213988388.0,2015-01-01,0.18871925360474973
"Rapid City, SD",44.19510820000001,-102.916612,20213988388.0,2016-01-01,0.2137404580152671
"Rapid City, SD",44.19510820000001,-102.916612,20213988388.0,2017-01-01,0.2368532654792197
"Rochester, NY",43.148038,-77.5232575,8459578202.0,2001-01-01,0.0
"Rochester, NY",43.148038,-77.5232575,8459578202.0,2002-01-01,0.029761776668316475
"Rochester, NY",43.148038,-77.5232575,8459578202.0,2003-01-01,0.046912995760614695
"Rochester, NY",43.148038,-77.5232575,8459578202.0,2004-01-01,0.057758936064903565
"Rochester, NY",43.148038,-77.5232575,8459578202.0,2005-01-01,0.06877703415180014
"Rochester, NY",43.148038,-77.5232575,8459578202.0,2006-01-01,0.08394843874410897
"Rochester, NY",43.148038,-77.5232575,8459578202.0,2007-01-01,0.0521638081301512
"Rochester, NY",43.148038,-77.5232575,8459578202.0,2008-01-01,0.03550754266285061
"Rochester, NY",43.148038,-77.5232575,8459578202.0,2009-01-01,0.048225698852998766
"Rochester, NY",43.148038,-77.5232575,8459578202.0,2010-01-01,0.07215563063547736
"Rochester, NY",43.148038,-77.5232575,8459578202.0,2011-01-01,0.054595536809485916
"Rochester, NY",43.148038,-77.5232575,8459578202.0,2012-01-01,0.058641244700768265
"Rochester, NY",43.148038,-77.5232575,8459578202.0,2013-01-01,0.06380597817900102
"Rochester, NY",43.148038,-77.5232575,8459578202.0,2014-01-01,0.032989735092211925
"Rochester, NY",43.148038,-77.5232575,8459578202.0,2015-01-01,0.048225698852998766
